CPLEX 12.6.0.0: time=600
CPLEX 12.6.0.0: optimal integer solution; objective 20074
4 MIP simplex iterations
0 branch-and-bound nodes
Items in the knapsack:
ID	Cost	Value
0	97	197
1	1	101
2	119	219
4	187	287
5	367	467
7	690	790
8	22	122
9	613	713
10	347	447
12	522	622
13	122	222
15	486	586
18	232	332
20	554	654
21	589	689
23	325	425
26	407	507
27	776	876
28	276	376
29	123	223
30	331	431
31	356	456
32	361	461
33	305	405
35	47	147
36	427	527
37	645	745
38	439	539
39	139	239
40	91	191
41	247	347
42	650	750
43	211	311
44	10	110
45	100	200
47	627	727
48	725	825
51	776	876
52	137	237
53	475	575
57	101	201
58	99	199
59	281	381
60	609	709
63	530	630

costBound = 15574

totalCost = 15574

totalValue = 20074

