CPLEX 12.6.0.0: time=600
CPLEX 12.6.0.0: optimal integer solution; objective 3302537
4 MIP simplex iterations
0 branch-and-bound nodes
Items in the knapsack:
ID	Cost	Value
588	4620	5620
590	1927	2927
591	2494	3494
592	4559	5559
593	6147	7147
595	1418	2418
596	3271	4271
597	628	1628
598	1037	2037
600	2497	3497
602	5892	6892
603	1340	2340
604	6676	7676
606	2063	3063
610	781	1781
611	5343	6343
613	6616	7616
614	985	1985
615	3532	4532
616	6509	7509
618	1608	2608
620	274	1274
621	514	1514
622	5819	6819
623	986	1986
624	4353	5353
625	3888	4888
626	6932	7932
627	4759	5759
628	446	1446
629	2323	3323
630	2981	3981
631	6176	7176
632	5742	6742
633	4919	5919
634	4883	5883
635	2067	3067
636	978	1978
637	1503	2503
638	3290	4290
639	6556	7556
640	2260	3260
641	4716	5716
643	2319	3319
644	2713	3713
645	6471	7471
646	4080	5080
647	2517	3517
648	5479	6479
649	5105	6105
651	5153	6153
652	5088	6088
653	5140	6140
654	1182	2182
655	5886	6886
657	2692	3692
658	6764	7764
662	1421	2421
664	6141	7141
666	6184	7184
667	1258	2258
668	2698	3698
669	5250	6250
671	5639	6639
672	3009	4009
674	6015	7015
675	3132	4132
676	992	1992
677	2856	3856
682	1089	2089
683	6539	7539
684	3916	4916
685	5819	6819
686	4934	5934
687	4126	5126
688	5333	6333
689	5430	6430
690	877	1877
691	5598	6598
692	4532	5532
693	696	1696
695	3597	4597
696	3458	4458
697	6697	7697
699	6052	7052
700	1649	2649
701	5652	6652
703	3625	4625
704	4045	5045
705	3091	4091
706	6638	7638
708	5406	6406
710	3324	4324
712	1146	2146
713	4089	5089
715	5283	6283
716	3367	4367
718	6501	7501
719	1806	2806
721	5912	6912
723	4511	5511
724	5963	6963
725	6168	7168
726	4144	5144
728	1121	2121
729	2392	3392
730	1584	2584
731	646	1646
732	5418	6418
733	3114	4114
738	2906	3906
739	3228	4228
741	3131	4131
742	6279	7279
743	2699	3699
745	4386	5386
746	6951	7951
747	1229	2229
748	6599	7599
749	6621	7621
750	752	1752
751	2371	3371
752	5740	6740
755	495	1495
758	1475	2475
759	6255	7255
761	352	1352
763	1588	2588
764	2858	3858
765	1176	2176
766	929	1929
768	6467	7467
769	2325	3325
770	25	1025
771	167	1167
772	4593	5593
775	2457	3457
776	6557	7557
777	478	1478
778	2806	3806
779	6892	7892
780	1776	2776
781	942	1942
782	5179	6179
783	6991	7991
784	5428	6428
785	988	1988
786	4857	5857
787	866	1866
788	3030	4030
790	5206	6206
791	1086	2086
792	4189	5189
793	70	1070
794	3741	4741
796	2037	3037
798	2446	3446
799	5163	6163
800	1828	2828
801	3119	4119
802	63	1063
803	5774	6774
804	3246	4246
805	5074	6074
808	6115	7115
809	386	1386
810	1163	2163
811	741	1741
812	6853	7853
813	3541	4541
814	458	1458
815	6152	7152
816	1160	2160
818	2227	3227
819	3131	4131
820	6370	7370
822	3918	4918
823	3574	4574
824	5955	6955
826	3416	4416
827	4275	5275
828	6366	7366
829	1787	2787
831	1661	2661
832	3588	4588
833	6320	7320
834	462	1462
835	1815	2815
836	562	1562
838	4643	5643
839	709	1709
840	2017	3017
841	1458	2458
842	5884	6884
844	6155	7155
845	1286	2286
846	2560	3560
848	2141	3141
849	1907	2907
850	185	1185
853	4185	5185
854	5775	6775
855	4843	5843
857	794	1794
860	3433	4433
861	4233	5233
862	3916	4916
863	4841	5841
864	888	1888
865	491	1491
866	1740	2740
868	1410	2410
870	2482	3482
873	3025	4025
874	2684	3684
875	6547	7547
876	6917	7917
877	1638	2638
878	130	1130
879	590	1590
881	1090	2090
883	1506	2506
885	5615	6615
886	2253	3253
889	3920	4920
890	6185	7185
892	5659	6659
893	1839	2839
894	3877	4877
895	5828	6828
896	834	1834
897	52	1052
899	1145	2145
900	1201	2201
902	4416	5416
903	3263	4263
904	5572	6572
905	2723	3723
906	6623	7623
907	993	1993
908	6680	7680
909	6935	7935
910	4228	5228
912	987	1987
913	4218	5218
914	6602	7602
915	4535	5535
918	5228	6228
920	3246	4246
